en,zh,jp
"Start processing instruction","开始处理指令","処理命令の開始"
"Start executing code block","开始执行代码块","コードブロックの実行開始"
"Execution result","执行结果","実行結果"
"Initializing MCP server, this may take a while if it's the first load, please wait patiently...","正在初始化MCP服务器，如果是第一次加载，可能会耗时较长，请耐心等待...","MCPサーバーの初期化中、初回ロードの場合は時間がかかる場合があります。しばらくお待ちください..."
"Start calling MCP tool","开始调用MCP工具","MCPツールの呼び出し開始"
"MCP tool call result","MCP工具调用结果","MCPツール呼び出し結果"
"Found {1} tools from {0} enabled MCP servers","从{0}个启用的MCP服务器找到{1}个工具","{0}個の有効なMCPサーバーから{1}個のツールが見つかりました"
"MCP Server: {}, tools: {}","MCP服务器：{}，工具：{}","MCPサーバー：{}、ツール：{}"
"MCP server status: {}","MCP服务器状态: {}","MCPサーバー状態：{}"
"Start parsing message","开始解析消息","メッセージの解析開始"
"Message parse result","消息解析结果","メッセージ解析結果"
"Start sending feedback","开始反馈结果","フィードバックの送信開始"
"End processing instruction","结束处理指令","処理命令の終了"
"No context information found","未找到上下文信息","コンテキスト情報が見つかりませんでした"
"Uploading result, please wait...","正在上传结果，请稍候...","結果をアップロード中、しばらくお待ちください..."
"Article uploaded successfully, {}","上传成功，私密保存地址：{}","記事のアップロードに成功しました、{}"
"Upload failed (status code: {})","上传失败 (状态码: {})","アップロードに失敗しました (ステータスコード: {})"
"Severe warning: This will reinitialize❗❗❗","严重警告：这将重新初始化❗❗❗","重大警告：これにより再初期化されます❗❗❗"
"If you are sure to continue, enter y","如果你确定要继续，请输入 y","続行する場合は y を入力してください"
"Reply","响应","返信"
"Environment variable name and meaning","环境变量名称和意义","環境変数の名前と意味"
"Description","描述","説明"
"Unsupported file format","不支持的文件格式","サポートされていないファイル形式"
"Request to install third-party packages","申请安装第三方包","サードパーティパッケージのインストール要求"
"If you agree, please enter","如果同意，请输入","同意する場合は入力してください"
"Request to obtain environment variable {}, purpose","申请获取环境变量 {}，用途","環境変数 {} の取得要求、目的"
"Environment variable {} exists, returned for code use","环境变量 {} 存在，返回给代码使用","環境変数 {} が存在し、コードで使用するために返されました"
"Environment variable {} not found, please enter","未找到环境变量 {}，请输入","環境変数 {} が見つかりませんでした、入力してください"
"Call failed","调用失败","呼び出しに失敗しました"
"Think","思考","考える"
"Current environment does not support publishing","当前环境不支持发布","現在の環境では公開がサポートされていません"
"Auto confirm","自动确认","自動確認"
"Third-party packages have been installed","申请的第三方包已经安装","サードパーティパッケージがインストールされました"
"is thinking hard, please wait 6-60 seconds","正在绞尽脑汁思考中，请稍等6-60秒","一生懸命考えています、6〜60秒お待ちください"
"No available LLM, please check the configuration file","没有可用的 LLM，请检查配置文件","利用可能なLLMがありません、設定ファイルを確認してください"
"Please use ai('task') to enter the task to be processed by AI (enter ai.use(llm) to switch to the following LLM:","请用 ai('任务') 输入需要 AI 处理的任务 (输入 ai.use(llm) 切换下述 LLM：","AIに処理させるタスクをai('task')で入力してください (以下のLLMに切り替えるにはai.use(llm)を入力してください："
"Please enter an instruction or `/help` for more information","请输入指令或 `/help` 查看更多信息","命令を入力するか、詳細については `/help` を入力してください"
"Default","默认","デフォルト"
"Enabled","已启用","有効"
"Disabled","未启用","無効"
"Enter AI mode, start processing tasks, enter Ctrl+d or /done to end the task","进入 AI 模式，开始处理任务，输入 Ctrl+d 或 /done 结束任务","AIモードに入り、タスクの処理を開始します。タスクを終了するにはCtrl+dまたは/doneを入力してください"
"Exit AI mode","退出 AI 模式","AIモードを終了"
"[AI mode] Unknown command","[AI 模式] 未知命令","[AIモード] 不明なコマンド"
"Task Summary","任务总结","タスクの概要"
"Round","轮次","ラウンド"
"Time(s)","时间(秒)","時間(秒)"
"In Tokens","输入令牌数","入力トークン数"
"Out Tokens","输出令牌数","出力トークン数"
"Total Tokens","总令牌数","総トークン数"
"Sending task to {}","正在向 {} 下达任务","{} にタスクを送信中"
"Error loading configuration: {}","加载配置时出错: {}","設定の読み込みエラー: {}"
"Please check the configuration file path and format.","请检查配置文件路径和格式。","設定ファイルのパスと形式を確認してください。"
"Configuration not loaded.","配置尚未加载。","設定が読み込まれていません。"
"Missing 'llm' configuration.","缺少 'llm' 配置。","'llm' 設定が不足しています。"
"Not usable","不可用","使用不可"
"Permission denied to create directory: {}","无权限创建目录: {}","ディレクトリの作成権限が拒否されました: {}"
"Error creating configuration directory: {}","创建配置目录时出错: {}","設定ディレクトリの作成エラー: {}"
"Successfully migrated old version trustoken configuration to {}","成功的将旧版本trustoken配置迁移到 {}","旧バージョンのtrustoken設定を {} に正常に移行しました"
"Successfully migrated old version user configuration to {}","成功的将旧版本用户配置迁移到 {}","旧バージョンのユーザー設定を {} に正常に移行しました"
"Binding request sent successfully.

Request ID: {}

>>> Please open this URL in your browser on an authenticated device to approve:

>>> {}

(This link expires in {} seconds)","绑定请求发送成功。

请求ID: {}

>>> 请在已认证设备的浏览器中打开以下链接以批准:

>>> {}

(该链接将在{}秒后过期)","バインディング要求が正常に送信されました。

リクエストID: {}

>>> 認証済みデバイスで以下のURLをブラウザで開いて承認してください:

>>> {}

(このリンクは{}秒後に期限切れになります)"
"Or scan the QR code below:","或者扫描下方二维码：","または以下のQRコードをスキャンしてください："
"We recommend you scan the QR code to bind the AiPy brain, you can also configure a third-party large model brain, details refer to: https://d.aipy.app/d/77","推荐您手机扫码绑定AiPy大脑，您也可以配置第三方大模型大脑，详情参考：https://d.aipy.app/d/77","AiPyブレインをバインドするためにQRコードをスキャンすることをお勧めします。サードパーティの大規模モデルブレインも設定できます。詳細は以下を参照してください：https://d.aipy.app/d/77"
"(Could not display QR code: {})","(无法显示二维码: {})","(QRコードを表示できません: {})"
"Error connecting to coordinator or during request: {}","连接到协调服务器或请求时出错: {}","コーディネーターへの接続エラーまたはリクエスト中のエラー: {}"
"An unexpected error occurred during request: {}","请求过程中发生意外错误: {}","リクエスト中に予期しないエラーが発生しました: {}"
"Browser has opened the Trustoken website, please register or login to authorize","浏览器已打开Trustoken网站，请注册或登录授权","ブラウザでTrustokenウェブサイトが開きました。登録またはログインして承認してください"
"Current status: {}...","当前状态: {}...","現在の状態: {}..."
"Binding request expired.","绑定请求已过期。","バインディング要求が期限切れになりました。"
"Received unknown status: {}","收到未知状态: {}","不明な状態を受信しました: {}"
"Error connecting to coordinator during polling: {}","轮询协调服务器时出错: {}","ポーリング中にコーディネーターへの接続エラー: {}"
"An unexpected error occurred during polling: {}","轮询过程中发生意外错误: {}","ポーリング中に予期しないエラーが発生しました: {}"
"Polling cancelled by user.","用户取消了轮询。","ユーザーがポーリングをキャンセルしました。"
"Polling timed out.","轮询超时。","ポーリングがタイムアウトしました。"
"The current environment lacks the required configuration file. Starting the configuration initialization process to bind with the Trustoken account...","当前环境缺少必需的配置文件，开始进行配置初始化流程，与trustoken账号绑定即可自动获取配置...","現在の環境に必要な設定ファイルがありません。Trustokenアカウントとバインドして設定の初期化プロセスを開始します..."
"Binding process completed successfully.","绑定流程已成功完成。","バインディングプロセスが正常に完了しました。"
"Binding process failed or was not completed.","绑定流程失败或未完成。","バインディングプロセスが失敗したか、完了していません。"
"Failed to initiate binding request.","绑定请求发起失败。","バインディング要求の開始に失敗しました。"
"Cancel","取消","キャンセル"
"TrustToken Authentication","TrustToken 认证","TrustToken認証"
"Error","错误","エラー"
"Time remaining: {} seconds","剩余时间：{} 秒","残り時間：{} 秒"
"Approved","已批准","承認済み"
"Expired","已过期","期限切れ"
"Pending","待处理","保留中"
"Found old configuration files: {}

Attempting to migrate configuration from these files...

After migration, these files will be backed up to {}, please check them.","发现旧的配置文件: {}

尝试从这些文件迁移配置...

迁移之后，这些文件会被备份到 {}，请注意查看。","古い設定ファイルが見つかりました: {}

これらのファイルから設定を移行しようとしています...

移行後、これらのファイルは {} にバックアップされます。確認してください。"
"Result file saved","结果文件已保存","結果ファイルが保存されました"
"Current configuration file directory: {} Working directory: {}","当前配置文件目录：{} 工作目录: {}","現在の設定ファイルディレクトリ：{} 作業ディレクトリ: {}"
"System information","系统信息","システム情報"
"Save chat history as HTML","保存聊天记录为 HTML","チャット履歴をHTMLとして保存"
"Clear chat","清空聊天","チャットをクリア"
"Exit","退出","終了"
"Start new task","开始新任务","新しいタスクを開始"
"Website","官网","ウェブサイト"
"Forum","论坛","フォーラム"
"WeChat Group","微信群","WeChatグループ"
"About","关于","約"
"Help","帮助","ヘルプ"
"File","文件","ファイル"
"Edit","编辑","編集"
"Task","任务","タスク"
"Stop task","停止任务","タスクを停止"
"Share task","分享任务","タスクを共有"
"Current task has ended","当前任务已结束","現在のタスクが終了しました"
"Operation in progress, please wait...","操作进行中，请稍候...","操作中、しばらくお待ちください..."
"Operation completed. If you want to start the next task, please click the `End` button","操作完成。如果开始下一个任务，请点击 `结束` 按钮","操作が完了しました。次のタスクを開始する場合は「終了」ボタンをクリックしてください"
"Press Ctrl/Cmd+Enter to send message","按 Ctrl/Cmd+Enter 发送消息","Ctrl/Cmd+Enterを押してメッセージを送信"
"Save chat history as HTML file","保存聊天记录为 HTML 文件","チャット履歴をHTMLファイルとして保存"
"Exit program","退出程序","プログラムを終了"
"Clear all messages","清除所有消息","すべてのメッセージをクリア"
"Start a new task","开始一个新任务","新しいタスクを開始"
"Official website","官方网站","公式ウェブサイト"
"Official forum","官方论坛","公式フォーラム"
"Official WeChat group","官方微信群","公式WeChatグループ"
"About AIPY","关于爱派","AIPYについて"
"Configuration","配置","設定"
"Configure program parameters","配置程序参数","プログラムパラメータの設定"
"Work Directory","工作目录","作業ディレクトリ"
"Browse...","浏览...","参照..."
"Select work directory","选择工作目录","作業ディレクトリを選択"
"Max Tokens","请输入最大 Token 数（默认：8192）","最大トークン数を入力してください（デフォルト：8192）"
"Timeout (seconds)","超时时间(秒)","タイムアウト（秒）"
"Max Rounds","最大执行轮数","最大実行ラウンド数"
"OK","确定","OK"
"AIPY is an intelligent assistant that can help you complete various tasks.","爱派是一个智能助手，可以帮助您完成各种任务。","AIPYは、さまざまなタスクを完了するのに役立つインテリジェントアシスタントです。"
"Current configuration directory","当前配置目录","現在の設定ディレクトリ"
"Current working directory","当前工作目录","現在の作業ディレクトリ"
"Version","版本","バージョン"
"AIPY Team","爱派团队","AIPYチーム"
"You can create a new directory in the file dialog","您可以在文件对话框中选择或创建新目录","ファイルダイアログで新しいディレクトリを選択または作成できます"
"Settings","设置","設定"
"https://sapi.trustoken.ai/v1","https://api.trustoken.cn/v1","https://sapi.trustoken.ai/v1"
"https://www.trustoken.ai/api","https://www.trustoken.cn/api","https://www.trustoken.ai/api"
"https://store.aipy.app/api/work","https://store.aipyaipy.com/api/work","https://store.aipy.app/api/work"
"Work directory does not exist","工作目录不存在","作業ディレクトリが存在しません"
"Warning","警告","警告"
"LLM {} is not available","LLM {} 不可用","LLM {} は利用できません"
"End","结束","終了"
"Send","发送","送信"
"🐙 AIPY - Your AI Assistant 🐂 🐎","🐙爱派，您的干活牛🐂马🐎，啥都能干！","🐙 AIPY - あなたのAIアシスタント 🐂 🐎"
"API Market","API 市场","APIマーケット"
"LLM Configuration","LLM 配置","LLM設定"
"Provider Configuration","提供商配置","プロバイダー設定"
"Me","我","私"
"Turing","图灵","チューリング"
"AIPy","爱派","AIPY"
"Current task","当前任务","現在のタスク"
"End processing instruction","结束处理指令","処理命令の終了"
"Run result","运行结果","実行結果"
"Update available","发现新版本","更新が利用可能です"
"Failed to save file","无法保存文件","ファイルの保存に失敗しました"
"Operation completed. If you start a new task, please click the `End` button","操作完成。如果开始下一个任务，请点击 `结束` 按钮","操作が完了しました。新しいタスクを開始する場合は「終了」ボタンをクリックしてください"
"Hello! I am **AIPy**, your intelligent task assistant!

Please allow me to introduce the other members of the team:

- Turing: The strongest artificial intelligence, complex task analysis and planning

- BB-8: The strongest robot, responsible for executing tasks

Note: Click the "**Help**" link in the menu bar to contact the **AIPy** official and join the group chat.","哈啰！我是**爱派**，您的智能任务小管家!

请允许我隆重介绍团队其它成员：

- 图灵：宇宙最强人工智能，复杂任务分析和规划

- BB-8: 宇宙最强机器人，负责执行任务

温馨提示：打开菜单栏"**帮助**"链接，可以联系**爱派**官方和加入群聊。","こんにちは！私は**AIPY**、あなたのインテリジェントなタスクアシスタントです！

チームの他のメンバーを紹介します：

- チューリング：宇宙最強の人工知能、複雑なタスクの分析と計画

- BB-8：宇宙最強のロボット、タスクの実行を担当

注：メニューバーの「**ヘルプ**」リンクをクリックして、**AIPY**公式に連絡し、グループチャットに参加してください。"
"Select LLM Provider","选择 LLM 提供商","LLMプロバイダーを選択"
"Provider","提供商","プロバイダー"
"Trustoken","Trustoken","Trustoken"
"Other","其它","その他"
